[Mon Apr 12 22:42:49.533 2010] 0.001 sec [all/0/rel 60 (0,50)] [idx_logs] config_i
[Mon Apr 12 22:44:45.026 2010] 0.001 sec [all/0/rel 60 (0,50)] [idx_logs] config_i
[Mon Apr 12 22:45:52.834 2010] 0.001 sec [all/0/rel 60 (0,50)] [idx_logs] config_i
[Mon Apr 12 23:01:54.101 2010] 0.001 sec [all/0/rel 60 (0,50)] [idx_logs] config_i
[Mon Apr 12 23:02:18.727 2010] 0.071 sec [all/0/rel 343260 (0,50)] [idx_logs] interface
[Mon Apr 12 23:02:48.596 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:04:53.621 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:06:56.190 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:07:27.344 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:08:04.069 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:08:13.596 2010] 0.018 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:08:44.277 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:09:20.852 2010] 0.020 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:09:33.421 2010] 0.012 sec [all/0/rel 0 (0,50)] [idx_logs] a
[Mon Apr 12 23:10:01.414 2010] 0.017 sec [all/0/rel 0 (0,50)] [idx_logs] int
[Mon Apr 12 23:10:20.283 2010] 0.012 sec [all/0/rel 60 (0,50)] [idx_logs] config_i
[Mon Apr 12 23:10:37.971 2010] 0.086 sec [all/0/rel 0 (0,50)] [idx_logs] conf
[Mon Apr 12 23:10:49.585 2010] 0.000 sec [all/0/rel 0 (0,50)] [idx_logs] confi
[Mon Apr 12 23:11:01.590 2010] 0.024 sec [all/0/rel 259 (0,50)] [idx_logs] config
